ANO_EXERCICIO,BAIRRO,TIPO_USO,AREA_TERRENO,AREA_CONSTRUIDA,VALOR_VENAL_IMOVEL,VALOR_M2
2025,PARQUE STA FE,Exclusivamente Residencial,302.5,191.43,395694.7,2067.05
2025,PARQUE STA FE,Exclusivamente Residencial,301.87,318.1,526730.73,1655.87
2025,PARQUE STA FE,Exclusivamente Residencial,150.0,123.0,224533.08,1825.47
2025,PARQUE STA FE,Exclusivamente Residencial,100.8,81.39,158273.76,1944.63
2025,HIPICA,Exclusivamente Residencial,51.8,39.23,66062.49,1683.98
2025,HIPICA,Exclusivamente Residencial,99.29,62.38,112093.97,1796.95
2025,HIPICA,Exclusivamente Residencial,125.0,42.0,98915.57,2355.13
2025,HIPICA,Exclusivamente Residencial,125.0,143.45,226766.78,1580.81
2025,HIPICA,Nï¿½o Exclusivamente Residencial,195.0,270.0,324895.65,1203.32
2025,HIPICA,Exclusivamente Residencial,195.0,94.0,133634.16,1421.64
2025,HIPICA,Exclusivamente Residencial,125.0,70.0,106807.8,1525.83
2025,HIPICA,Exclusivamente Residencial,125.0,90.0,107410.15,1193.45
2025,HIPICA,Exclusivamente Residencial,105.0,76.31,133023.31,1743.2
2025,HIPICA,Exclusivamente Residencial,157.0,116.78,187444.19,1605.11
2025,RESTINGA,Exclusivamente Residencial,150.0,17.0,47935.82,2819.75
2025,RESTINGA,Exclusivamente Residencial,150.0,17.0,47935.82,2819.75
2025,RESTINGA,Exclusivamente Residencial,150.0,17.0,47935.82,2819.75
2025,RESTINGA,Exclusivamente Residencial,150.0,17.0,47935.82,2819.75
2025,RESTINGA,Exclusivamente Residencial,150.0,17.0,47935.82,2819.75
2025,RESTINGA,Exclusivamente Residencial,150.0,17.0,47935.82,2819.75
2025,RIO BRANCO,Exclusivamente Residencial,10.55,32.0,128255.88,4008.0
2025,RIO BRANCO,Exclusivamente Residencial,11.87,36.0,143326.3,3981.29
2025,RIO BRANCO,Exclusivamente Residencial,4.62,14.0,54669.6,3904.97
2025,RIO BRANCO,Exclusivamente Residencial,4.62,14.0,54669.6,3904.97
2025,RIO BRANCO,Exclusivamente Residencial,8.24,25.0,97074.82,3882.99
2025,RIO BRANCO,Exclusivamente Residencial,5.94,18.0,69740.02,3874.45
2025,RIO BRANCO,Exclusivamente Residencial,5.94,18.0,69740.02,3874.45
2025,RIO BRANCO,Exclusivamente Residencial,90.03,273.0,1096827.28,4017.68
2025,RIO BRANCO,Exclusivamente Residencial,89.04,270.0,1084562.9,4016.9
2025,RIO BRANCO,Exclusivamente Residencial,161.26,489.0,1964477.6,4017.34
2025,RIO BRANCO,Exclusivamente Residencial,163.24,495.0,1989006.36,4018.19
2025,RIO BRANCO,Exclusivamente Residencial,260.76,234.0,1265999.02,5410.25
2025,RIO BRANCO,Exclusivamente Residencial,119.24,107.0,581597.61,5435.49
2025,RIO BRANCO,Exclusivamente Residencial,44.52,146.0,694295.24,4755.45
2025,RIO BRANCO,Exclusivamente Residencial,47.87,157.0,745393.32,4747.73
2025,RIO BRANCO,Exclusivamente Residencial,10.98,36.0,167929.4,4664.71
2025,RIO BRANCO,Exclusivamente Residencial,9.15,30.0,142505.34,4750.18
2025,RIO BRANCO,Exclusivamente Residencial,9.15,30.0,142505.34,4750.18
2025,ANCHIETA,Exclusivamente Residencial,330.0,159.0,428684.76,2696.13
2025,ANCHIETA,Nï¿½o Exclusivamente Residencial,45774.0,16090.0,63043056.3,3918.15
2025,ANCHIETA,Nï¿½o Exclusivamente Residencial,1183.0,1445.0,2619720.75,1812.96
2025,ANCHIETA,Nï¿½o Exclusivamente Residencial,360.0,312.0,698466.72,2238.68
2025,ANCHIETA,Nï¿½o Exclusivamente Residencial,1253.0,784.0,2063332.88,2631.8
2025,ANCHIETA,Nï¿½o Exclusivamente Residencial,360.0,285.0,599523.3,2103.59
2025,ANCHIETA,Nï¿½o Exclusivamente Residencial,330.0,292.19,781912.52,2676.04
2025,ANCHIETA,Nï¿½o Exclusivamente Residencial,330.0,253.0,571634.14,2259.42
2025,ANCHIETA,Nï¿½o Exclusivamente Residencial,330.0,200.0,538220.4,2691.1
2025,ANCHIETA,Nï¿½o Exclusivamente Residencial,330.0,278.0,472717.66,1700.42
2025,ANCHIETA,Exclusivamente Residencial,330.0,128.0,432400.84,3378.13
2025,ANCHIETA,Nï¿½o Exclusivamente Residencial,396.0,341.0,673632.62,1975.46
2025,ANCHIETA,Nï¿½o Exclusivamente Residencial,392.0,441.0,976976.56,2215.37
2025,ANCHIETA,Nï¿½o Exclusivamente Residencial,468.0,268.0,793832.16,2962.06
2025,ANCHIETA,Exclusivamente Residencial,418.0,95.0,372591.65,3922.02
2025,ANCHIETA,Nï¿½o Exclusivamente Residencial,386.0,341.0,679714.19,1993.3
2025,ANCHIETA,Exclusivamente Residencial,330.0,128.0,335731.6,2622.9
2025,ANCHIETA,Nï¿½o Exclusivamente Residencial,330.0,228.0,491276.76,2154.72
2025,ANCHIETA,Nï¿½o Exclusivamente Residencial,184.72,267.0,442595.27,1657.66
2025,ANCHIETA,Nï¿½o Exclusivamente Residencial,388.79,272.88,701721.48,2571.54
2025,ANCHIETA,Exclusivamente Residencial,385.0,132.0,407683.16,3088.51
2025,ANCHIETA,Nï¿½o Exclusivamente Residencial,525.0,748.97,1165576.8,1556.24
2025,ANCHIETA,Exclusivamente Residencial,424.0,192.2,465649.86,2422.74
2025,ANCHIETA,Exclusivamente Residencial,389.0,262.0,783590.92,2990.81
2025,ANCHIETA,Nï¿½o Exclusivamente Residencial,201.36,144.0,321634.08,2233.57
2025,ANCHIETA,Nï¿½o Exclusivamente Residencial,128.64,92.0,135658.6,1474.55
2025,ANCHIETA,Nï¿½o Exclusivamente Residencial,433.0,267.0,717813.17,2688.44
2025,SANTANA,Exclusivamente Residencial,290.0,196.0,667388.24,3405.04
2025,SANTANA,Exclusivamente Residencial,18.54,45.0,85381.56,1897.37
2025,SANTANA,Exclusivamente Residencial,18.54,45.0,85381.56,1897.37
2025,SANTANA,Exclusivamente Residencial,18.54,45.0,85381.56,1897.37
2025,SANTANA,Exclusivamente Residencial,18.54,45.0,85381.56,1897.37
2025,SANTANA,Exclusivamente Residencial,18.54,45.0,85381.56,1897.37
2025,SANTANA,Nï¿½o Exclusivamente Residencial,244.0,419.0,1076023.83,2568.08
2025,BOA VISTA DO SU,Exclusivamente Residencial,3219.0,66.29,173051.57,2610.52
2025,BOA VISTA DO SU,Exclusivamente Residencial,249.0,249.0,204181.73,820.01
2025,BOA VISTA DO SU,Exclusivamente Residencial,230.0,230.0,87197.41,379.12
2025,BOA VISTA DO SU,Exclusivamente Residencial,70.0,70.0,40996.87,585.67
2025,BOA VISTA DO SU,Nï¿½o Exclusivamente Residencial,50.0,50.0,37931.12,758.62
2025,BOA VISTA DO SU,Exclusivamente Residencial,351.9,154.45,119931.97,776.51
2025,BOA VISTA DO SU,Exclusivamente Residencial,300.0,69.7,99579.24,1428.68
2025,BOA VISTA DO SU,Exclusivamente Residencial,394.29,24.0,16765.36,698.56
2025,BOA VISTA DO SU,Exclusivamente Residencial,300.0,100.0,32895.0,328.95
2025,BOA VISTA DO SU,Exclusivamente Residencial,619.0,89.0,119426.32,1341.87
2025,BOA VISTA DO SU,Exclusivamente Residencial,314.0,80.0,22997.25,287.47
2025,BOA VISTA DO SU,Exclusivamente Residencial,690.0,75.0,81338.1,1084.51
2025,BOA VISTA DO SU,Exclusivamente Residencial,478.0,151.02,138261.0,915.51
2025,BOA VISTA DO SU,Exclusivamente Residencial,70.0,70.0,3695.2,52.79
2025,BOA VISTA DO SU,Exclusivamente Residencial,66.0,66.0,43796.82,663.59
2025,BOA VISTA DO SU,Nï¿½o Exclusivamente Residencial,100.0,100.0,20774.7,207.75
2025,BOA VISTA DO SU,Exclusivamente Residencial,151.0,151.0,88168.06,583.89
2025,BOA VISTA DO SU,Exclusivamente Residencial,1794.01,113.0,155937.54,1379.98
2025,JARDIM ITU,Exclusivamente Residencial,148.44,229.9,559799.73,2434.97
2025,JARDIM ITU,Exclusivamente Residencial,102.34,176.29,414354.82,2350.42
2025,JARDIM ITU,Nï¿½o Exclusivamente Residencial,31.36,82.12,126481.33,1540.2
2025,JARDIM ITU,Nï¿½o Exclusivamente Residencial,110.98,45.0,117860.95,2619.13
2025,JARDIM ITU,Exclusivamente Residencial,11.76,13.0,20924.04,1609.54
2025,JARDIM ITU,Exclusivamente Residencial,69.68,77.0,127023.66,1649.66
2025,JARDIM ITU,Exclusivamente Residencial,397.0,238.0,534876.8,2247.38
2025,JARDIM ITU,Exclusivamente Residencial,9.51,14.0,18637.43,1331.24
2025,JARDIM ITU,Exclusivamente Residencial,9.51,14.0,18637.43,1331.24
2025,JARDIM ITU,Exclusivamente Residencial,9.51,14.0,18637.43,1331.24
2025,JARDIM ITU,Exclusivamente Residencial,9.51,14.0,18637.43,1331.24
2025,JARDIM ITU,Exclusivamente Residencial,131.81,194.0,268736.02,1385.24
2025,JARDIM ITU,Nï¿½o Exclusivamente Residencial,30.13,92.0,223247.93,2426.61
2025,JARDIM ITU,Exclusivamente Residencial,277.6,277.2,596574.9,2152.15
2025,JARDIM ITU,Exclusivamente Residencial,81.76,214.13,330164.03,1541.89
2025,PASSO DA AREIA,Exclusivamente Residencial,54.8,65.0,173597.53,2670.73
2025,PARQUE STA FE,Exclusivamente Residencial,287.13,241.76,468621.65,1938.38
2025,PARQUE STA FE,Exclusivamente Residencial,150.94,144.16,265093.74,1838.89
2025,PARQUE STA FE,Exclusivamente Residencial,77.19,91.76,156201.01,1702.28
2025,PARQUE STA FE,Exclusivamente Residencial,78.18,93.0,158556.93,1704.91
2025,PARQUE STA FE,Exclusivamente Residencial,300.0,106.0,301511.76,2844.45
2025,PARQUE STA FE,Exclusivamente Residencial,301.0,210.0,438943.05,2090.2
2025,PARQUE STA FE,Exclusivamente Residencial,98.4,81.29,157016.58,1931.56
2025,PARQUE STA FE,Exclusivamente Residencial,300.0,90.0,283868.4,3154.09
2025,HIPICA,Exclusivamente Residencial,187.0,96.0,144727.15,1507.57
2025,HIPICA,Exclusivamente Residencial,125.0,112.0,131664.66,1175.58
2025,HIPICA,Exclusivamente Residencial,125.0,81.0,144256.01,1780.94
2025,HIPICA,Exclusivamente Residencial,125.0,43.0,80440.74,1870.71
2025,HIPICA,Exclusivamente Residencial,86.0,73.8,121697.42,1649.02
2025,RESTINGA,Exclusivamente Residencial,150.0,24.0,51876.54,2161.52
2025,RESTINGA,Exclusivamente Residencial,150.0,17.0,47935.82,2819.75
2025,RESTINGA,Exclusivamente Residencial,150.0,24.0,51876.54,2161.52
2025,RESTINGA,Exclusivamente Residencial,150.0,17.0,47935.82,2819.75
2025,RESTINGA,Exclusivamente Residencial,150.0,17.0,47935.82,2819.75
2025,RESTINGA,Exclusivamente Residencial,150.0,17.0,47935.82,2819.75
2025,RESTINGA,Exclusivamente Residencial,150.0,17.0,47935.82,2819.75
